logM,logM_err_minus,logM_err_plus,logSFR,logSFR_err_minus,logSFR_err_plus,logO3,logO3_err_minus,logO3_err_plus,logO2,logO2_err_minus,logO2_err_plus,logO32,logO32_err_minus,logO32_err_plus,logR23,logR23_err_minus,logR23_err_plus,O_H_O_based,O_H_O_based_err_minus,O_H_O_based_err_plus,O_H_O3N2,O_H_O3N2_err_minus,O_H_O3N2_err_plus,O_H_N2,O_H_N2_err_minus,O_H_N2_err_plus
9.19,0.05,0.04,0.37,0.05,0.04,0.40,0.05,0.04,0.50,0.05,0.04,-0.10,0.05,0.04,0.81,0.05,0.04,8.46,0.01,0.01,,,
9.29,0.05,0.04,0.39,0.05,0.04,0.30,0.05,0.04,0.53,0.05,0.04,-0.23,0.05,0.04,0.78,0.05,0.04,8.50,0.01,0.01,,,
9.37,0.05,0.04,0.43,0.05,0.04,0.28,0.05,0.04,0.51,0.05,0.04,-0.23,0.05,0.04,0.76,0.05,0.04,8.51,0.01,0.01,,,
9.44,0.05,0.04,0.49,0.05,0.04,0.23,0.05,0.04,0.55,0.05,0.04,-0.32,0.05,0.04,0.76,0.05,0.04,8.54,0.01,0.01,,,
9.51,0.05,0.04,0.54,0.05,0.04,0.24,0.05,0.04,0.57,0.05,0.04,-0.32,0.05,0.04,0.78,0.05,0.04,8.53,0.01,0.01,,,
9.60,0.05,0.04,0.60,0.05,0.04,0.19,0.05,0.04,0.53,0.05,0.04,-0.34,0.05,0.04,0.74,0.05,0.04,8.55,0.01,0.01,,,
9.70,0.05,0.04,0.60,0.05,0.04,0.11,0.05,0.04,0.52,0.05,0.04,-0.41,0.05,0.04,0.70,0.05,0.04,8.57,0.01,0.01,,,
9.79,0.05,0.04,0.72,0.05,0.04,0.03,0.05,0.04,0.53,0.05,0.04,-0.50,0.05,0.04,0.68,0.05,0.04,8.61,0.01,0.01,,,
9.87,0.05,0.04,0.77,0.05,0.04,-0.02,0.05,0.04,0.48,0.05,0.04,-0.50,0.05,0.04,0.63,0.05,0.04,8.62,0.01,0.01,,,
9.99,0.05,0.04,0.82,0.05,0.04,-0.09,0.05,0.04,0.45,0.05,0.04,-0.54,0.05,0.04,0.59,0.05,0.04,8.64,0.01,0.01,,,
10.12,0.05,0.04,0.92,0.05,0.04,-0.12,0.05,0.04,0.47,0.05,0.04,-0.59,0.05,0.04,0.60,0.05,0.04,8.65,0.01,0.01,,,
10.29,0.05,0.04,0.98,0.05,0.04,-0.20,0.05,0.04,0.42,0.05,0.04,-0.62,0.05,0.04,0.54,0.05,0.04,8.67,0.01,0.01,,,
10.56,0.05,0.04,1.29,0.05,0.04,-0.35,0.05,0.04,0.33,0.05,0.04,-0.67,0.05,0.04,0.44,0.05,0.04,8.70,0.01,0.01,,,
10.04,0.05,0.04,0.95,0.05,0.04,-0.16,0.05,0.04,0.41,0.05,0.04,-0.58,0.05,0.04,0.54,0.05,0.04,8.66,0.01,0.01,,,
10.22,0.05,0.04,1.07,0.05,0.04,-0.29,0.05,0.04,0.38,0.05,0.04,-0.68,0.05,0.04,0.49,0.05,0.04,8.70,0.01,0.01,,,
10.38,0.05,0.04,1.23,0.05,0.04,-0.32,0.05,0.04,0.35,0.05,0.04,-0.68,0.05,0.04,0.46,0.05,0.04,8.70,0.01,0.01,,,
10.54,0.05,0.04,1.30,0.05,0.04,-0.40,0.05,0.04,0.28,0.05,0.04,-0.68,0.05,0.04,0.39,0.05,0.04,8.73,0.01,0.01,,,
10.69,0.05,0.04,1.34,0.05,0.04,-0.43,0.05,0.04,0.30,0.05,0.04,-0.73,0.05,0.04,0.40,0.05,0.04,8.73,0.01,0.01,,,
10.82,0.05,0.04,1.37,0.05,0.04,-0.46,0.05,0.04,0.23,0.05,0.04,-0.68,0.05,0.04,0.33,0.05,0.04,8.74,0.01,0.01,,,
